Species,Abbreviations,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Group,Family
Paramys_copei,Pa_co,53,52.1,1029890,1029.89,7.52665,7526.65,455.451,89.99,612.69,3378.48,6.051178147,1.195618237,18.1350785,Paramyinae,Ischyromyidae
Paramys_delicatus,Pa_de,49.25,48.6,2913820,2913.82,12.5654,12565.4,595.508,129.3,836.31,4864.86,4.739268149,1.029016187,17.19083386,Paramyinae,Ischyromyidae
Pseudotomus_horribilis,Ps_ho,49.25,48.6,7466700.776,7466.700776,15.1882,15188.2,808.92,173.8,1095.61,5842.8,5.325976745,1.144309398,18.75145478,Paramyinae,Ischyromyidae
Pseudotomus_oweni,Ps_ow,48.6,47.9,5395996.918,5395.996918,12.063,12063,717.056,74.8,1038.73,4744.38,5.944259305,0.620077924,21.89390395,Paramyinae,Ischyromyidae
Pseudotomus_petersoni,Ps_pe,45.3,42.8,6644560,6644.56,17.0149,17014.9,704.343,65.8,1337.58,5843.7,4.13956591,0.386719875,22.88926536,Paramyinae,Ischyromyidae
Pseudotomus_hians,Ps_hi,49.25,48.6,3153500,3153.5,13.6791,13679.1,743.199,142.4,1136.08,4878.63,5.433098669,1.04100416,23.28686537,Paramyinae,Ischyromyidae
Reithroparamys_delicatissimus,Re_de,49.25,48.6,856230,856.23,6.43398,6433.98,206.306,148.86,550.876,3178.9,3.206506703,2.313653446,17.32913901,Reithroparamyinae,Ischyromyidae
Rapamys_atramontis,Ra_at,39.8,37.8,1307609.032,1307.609032,6.55822,6558.22,225.338,115.555,763.645,3321.41,3.435962807,1.761987247,22.99159092,Reithroparamyinae,Ischyromyidae
Ischyromys_typus,Is_ty,33.9,32.05,1342230,1342.23,6.263176667,6263.176667,209.2226667,103.85,606.7233333,2835.36,3.34051996,1.658104274,21.39845851,Ischyromyinae,Ischyromyidae
Cedromus_wilsoni,Ce_wi,33.1,32.05,268890,268.89,3.60987,3609.87,106.969,113.96,645.15,2048.7,2.963236903,3.156900387,31.49070142,Cedromurinae,SciuridaeF
Protosciurus_rachelae,Pr_ra,28,23.8,349620,349.62,5.102885,5102.885,211.552,158.925,701.39,2245.795,4.145733247,3.114414689,31.23125664,Sciurini,SciuridaeF
Sciurus_carolinensis,Sc_ca,0,0,592550,592.55,8.05259,8052.59,255.92,163.26,990.64,2720.59,3.178107913,2.027422233,36.41268989,Sciurini,Extant
Sciurus_granatensis,Sc_gr,0,0,336990,336.99,6.32366,6323.66,169.88,131.63,841.62,2340.36,2.686418941,2.081547711,35.96113418,Sciurini,Extant
Tamiasciurus_hudsonicus,Ta_hu,0,0,256610,256.61,5.1467,5146.7,128.89,120.02,751.24,2003.97,2.504323159,2.331979715,37.48758714,Sciurini,Extant
Tamias_minimus,Ta_mi,0,0,37050,37.05,1.52159,1521.59,51.19,34.8,325.31,890.54,3.364243982,2.287081277,36.52952141,Xerinae,Extant
Funisciurus_pyrropus,Fu_py,0,0,301150,301.15,4.55413,4554.13,146.78,99.54,695.25,1881.42,3.223008566,2.185708357,36.95347131,Xerinae,Extant
Heliosciurus_rufobrachium,He_ru,0,0,354980,354.98,6.07664,6076.64,149.15,113.61,850.16,2271.66,2.454481424,1.869618737,37.4246146,Xerinae,Extant
Paraxerus_cepapi,Pa_ce,0,0,138130,138.13,3.0533,3053.3,79.88,44.66,533.37,1445.98,2.616185766,1.462679724,36.8864023,Xerinae,Extant
Protoxerus_stangeri,Pr_st,0,0,767230,767.23,9.74691,9746.91,225.57,183.74,1233.5,3138.06,2.314271908,1.885110255,39.30772516,Xerinae,Extant
Xerus_rutilus,Xe_ru,0,0,353902.1179,353.9021179,6.00183,6001.83,196.966934,111.95,866.66,2249.69,3.28178129,1.865264428,38.52352991,Xerinae,Extant
Marmota_marmota,Ma_ma,0,0,4546972.063,4546.972063,15.1958,15195.8,390.881,127.4,1533.62,4622.4,2.572296292,0.838389555,33.17800277,Xerinae,Extant
Cynomys_ludovicianus,Cy_lu,0,0,938695.9831,938.6959831,7.2203,7220.3,182.729,70.97,928.61,2666.16,2.53076742,0.982923147,34.8294926,Xerinae,Extant
Urocitellus_richardsonii,Ur_ri,0,0,245779.8666,245.7798666,3.15799,3157.99,105.749,55.33,553.66,1514.13,3.348617317,1.752063813,36.56621294,Xerinae,Extant
Aeromys_tephromelas,Ae_te,0,0,904590,904.59,11.4615,11461.5,326.77,166.1,1276.75,3528.53,2.85102299,1.449199494,36.18362321,Pteromyini,Extant
Glaucomys_volans,Gl_vo,0,0,63970,63.97,2.01043,2010.43,70.08,33.73,383.61,1040.25,3.485821441,1.677750531,36.87671233,Pteromyini,Extant
Petaurista_petaurista,Pe_pe,0,0,1096650,1096.65,12.3177,12317.7,201.76,199.9,1331.61,3673.24,1.637968127,1.622867906,36.25164705,Pteromyini,Extant
Hylopetes_spadiceus,Hy_sp,0,0,84220,84.22,2.12074,2120.74,69.95,17.93,410.01,1078.4,3.298376982,0.845459604,38.02021513,Pteromyini,Extant
Petinomys_setosus,Pe_se,0,0,41860,41.86,1.51253,1512.53,46.96,NA,305.69,836.52,3.104731807,NA,36.54305934,Pteromyini,Extant
Pteromyscus_pulverulentus,Pt_pu,0,0,195440,195.44,3.62104,3621.04,101.74,49.5,565.88,1627.4,2.809690034,1.367010583,34.772029,Pteromyini,Extant
Pteromys_volans,Pt_vo,0,0,106370,106.37,2.3308,2330.8,40.79,37.53,427.98,1205.34,1.750042904,1.610176763,35.50699388,Pteromyini,Extant
Rhinosciurus_laticaudatus,Rh_la,0,0,507380,507.38,4.3836,4383.6,170.11,97.36,650.59,1851.63,3.88060042,2.221005566,35.1360693,Callosciurinae,Extant
Callosciurus_sp,Ca_sp,0,0,437350,437.35,7.00794,7007.94,229.77,123.91,974.42,2479.31,3.278709578,1.768137284,39.30206388,Callosciurinae,Extant
Lariscus_insignis,La_in,0,0,324710,324.71,4.87857,4878.57,230.63,113,691.54,1993.8,4.727409876,2.316252508,34.68452202,Callosciurinae,Extant
Dremomys_rufigenis,Dr_ru,0,0,418430,418.43,5.86609,5866.09,232.42,125.71,826.93,2185.23,3.962094001,2.142994738,37.84178324,Callosciurinae,Extant
Ratufa_affinis,Ra_af,0,0,1074270,1074.27,12.3137,12313.7,201.44,234.9,1407.87,3725.22,1.635901476,1.907631337,37.79293572,Ratufinae,Extant
Miopetaurista_crusafonti,Mi_cr,12.5,12,1228900,1228.9,10.82214,10822.14,131.13,207.42,697.6,2310.86,1.211682717,1.916626471,30.18789542,Pteromyini,SciuridaeF